Skill_Operating Systems,Skill_Algorithms,Skill_Programming Concepts,Skill_Software Engineering,Skill_Computer Networks,Skill_Computer Architecture,Skill_Mathematics,Skill_Communication skills,Working_Hours,Skill_Logical Thinking,No of Hackathons,Skill_Coding,Skill_public speaking,Skill_self-learning,Skill_memory capability,Skill_reading and writing,Gentle or Stubborn?,Management or Technical?,Salary or Work?,Hard or Smart Worker?,Skill_teamwork,Introvert or Extrovert?,Other_Certifications,Workshops,Interested subjects,Interested career area,Type_of_company,Interested Type of Books,Suggested Job Role
90,73,90,67,63,67,60,69,12,6,0,2,8,yes,excellent,excellent,stubborn,Management,work,hard worker,no,no,hadoop,system designing,parallel computing,cloud computing,SAaS services,Autobiographies,Information Security Analyst
67,61,66,62,93,88,88,70,4,5,0,2,5,yes,poor,medium,stubborn,Technical,work,hard worker,yes,no,app development,game development,parallel computing,security,Product based,Journals,Database Developer
65,61,73,90,89,82,60,84,5,8,3,2,8,yes,poor,excellent,stubborn,Management,salary,hard worker,yes,yes,hadoop,system designing,hacking,security,Business Process Analysis,History,Business Systems Analyst
84,62,70,70,67,78,61,65,4,9,6,4,5,no,excellent,medium,gentle,Management,work,hard worker,no,yes,r programming,system designing,cloud computing,system developer,Business Process Analysis,Art,Quality Assurance Associate
74,89,66,75,86,63,80,69,9,9,5,7,6,yes,poor,excellent,gentle,Management,work,smart worker,no,no,shell programming,testing,data engineering,testing,Service Based,Childrens,Technical Support
92,67,76,92,69,80,77,66,4,7,5,5,1,yes,poor,medium,stubborn,Technical,work,smart worker,no,yes,full stack,testing,parallel computing,cloud computing,product development,Childrens,Technical Support
75,74,85,93,92,87,78,91,12,5,0,4,7,yes,excellent,medium,stubborn,Technical,salary,hard worker,no,yes,distro making,testing,networks,developer,SAaS services,History,Information Security Analyst
90,82,75,72,84,83,68,67,4,8,5,1,8,yes,medium,excellent,stubborn,Management,salary,hard worker,yes,no,python,database security,programming,Business process analyst,SAaS services,Self help,Business Intelligence Analyst
71,60,93,79,78,90,76,75,12,9,1,3,5,yes,excellent,poor,stubborn,Technical,work,smart worker,no,no,app development,data science,parallel computing,security,Web Services,Dictionaries,Project Manager
83,82,64,70,93,87,83,87,11,1,0,1,8,no,medium,excellent,gentle,Management,work,hard worker,no,no,app development,testing,cloud computing,cloud computing,Business Process Analysis,Art,Information Technology Manager
83,68,70,90,85,90,92,85,4,3,1,2,6,no,poor,excellent,gentle,Management,work,smart worker,yes,yes,app development,testing,networks,Business process analyst,Cloud Services,Journals,Web Developer
89,88,65,78,87,75,71,90,4,2,3,9,8,yes,medium,poor,gentle,Technical,salary,hard worker,no,yes,python,data science,data engineering,Business process analyst,Business Process Analysis,Self help,Programmer Analyst
74,70,93,85,82,71,93,75,11,5,6,3,1,yes,poor,excellent,stubborn,Technical,work,smart worker,no,no,full stack,game development,cloud computing,testing,product development,Childrens,Business Systems Analyst
80,85,68,64,86,78,87,87,7,7,4,7,5,yes,excellent,excellent,stubborn,Technical,work,hard worker,no,no,shell programming,testing,data engineering,testing,Finance,Horror,Systems Security Administrator
70,67,64,82,77,87,68,65,10,9,0,2,5,yes,poor,excellent,gentle,Management,work,hard worker,no,no,full stack,database security,parallel computing,system developer,Finance,Childrens,Business Systems Analyst
76,63,84,85,61,65,87,76,11,8,4,2,9,no,excellent,poor,stubborn,Technical,salary,smart worker,yes,no,app development,web technologies,data engineering,security,Product based,Trilogy,Design & UX
66,74,78,85,68,86,83,80,9,8,6,2,9,yes,excellent,excellent,stubborn,Technical,salary,smart worker,no,yes,hadoop,hacking,Computer Architecture,testing,SAaS services,Childrens,Solutions Architect
83,83,62,82,61,89,82,78,11,3,6,9,5,no,poor,poor,gentle,Technical,salary,hard worker,no,yes,app development,system designing,Computer Architecture,Business process analyst,Testing and Maintainance Services,Encyclopedias,Business Systems Analyst
66,71,72,60,93,81,78,94,9,8,5,7,4,yes,poor,excellent,stubborn,Management,work,smart worker,no,yes,shell programming,cloud computing,hacking,Business process analyst,Business Process Analysis,Encyclopedias,Systems Analyst
70,71,65,84,86,79,68,63,8,8,0,4,7,no,medium,medium,stubborn,Technical,work,smart worker,no,yes,full stack,system designing,data engineering,testing,Finance,Action and Adventure,Network Security Administrator
78,85,80,85,83,82,70,62,10,6,2,1,8,yes,poor,poor,gentle,Technical,salary,hard worker,yes,no,app development,hacking,cloud computing,Business process analyst,SAaS services,Anthology,Data Architect
74,67,94,65,94,93,81,84,5,5,1,6,9,yes,excellent,poor,gentle,Technical,work,hard worker,no,yes,python,game development,Software Engineering,testing,Business Process Analysis,Action and Adventure,CRM Technical Developer
85,74,70,69,87,71,94,64,5,9,1,1,9,yes,excellent,medium,stubborn,Technical,salary,smart worker,no,no,app development,web technologies,Software Engineering,cloud computing,Web Services,Dictionaries,Software Developer
61,71,77,82,70,65,60,94,5,3,2,6,7,yes,medium,medium,gentle,Technical,salary,hard worker,no,no,machine learning,data science,IOT,security,Cloud Services,Fantasy,E-Commerce Analyst
71,83,80,71,85,63,93,88,11,7,4,8,1,yes,medium,poor,gentle,Management,work,smart worker,yes,no,full stack,web technologies,Software Engineering,Business process analyst,SAaS services,Childrens,Technical Services/Help Desk/Tech Support
67,83,86,63,82,70,64,78,8,9,0,5,8,yes,excellent,poor,gentle,Technical,work,hard worker,yes,no,machine learning,testing,Management,security,Cloud Services,Drama,Systems Analyst
76,82,76,62,94,92,79,73,5,5,6,8,4,yes,medium,poor,stubborn,Management,salary,hard worker,yes,no,shell programming,testing,networks,Business process analyst,Testing and Maintainance Services,Comics,Information Technology Auditor
69,81,74,62,60,82,75,70,4,7,4,2,9,yes,excellent,poor,stubborn,Technical,work,hard worker,no,no,python,testing,data engineering,security,Business Process Analysis,Art,Network Security Administrator
81,83,63,78,66,75,85,78,7,7,6,5,5,yes,medium,medium,stubborn,Technical,salary,smart worker,no,yes,shell programming,cloud computing,Software Engineering,system developer,Finance,Horror,Database Manager
79,73,77,91,84,82,63,84,9,7,1,3,5,yes,poor,poor,stubborn,Management,work,hard worker,yes,yes,python,database security,hacking,cloud computing,Product based,Self help,Web Developer
73,78,76,75,71,92,91,81,10,5,5,9,5,no,poor,excellent,stubborn,Technical,salary,hard worker,yes,no,distro making,database security,Computer Architecture,system developer,Service Based,Diaries,Information Security Analyst
69,71,88,82,88,83,93,92,12,2,1,1,5,yes,poor,excellent,stubborn,Technical,work,smart worker,no,no,information security,database security,parallel computing,security,Web Services,Science fiction,E-Commerce Analyst
75,84,63,90,77,71,63,69,11,4,3,2,4,no,medium,poor,stubborn,Management,salary,smart worker,no,yes,machine learning,cloud computing,hacking,cloud computing,SAaS services,Comics,Technical Services/Help Desk/Tech Support
73,69,63,90,64,80,78,78,4,5,0,6,2,yes,poor,poor,stubborn,Management,work,smart worker,yes,no,information security,testing,programming,testing,Business Process Analysis,Series,Applications Developer
62,92,83,84,93,88,74,71,6,8,1,4,6,yes,medium,medium,stubborn,Technical,work,hard worker,no,yes,information security,database security,hacking,security,Cloud Services,Childrens,Software Systems Engineer
69,73,86,91,77,84,67,73,10,3,5,2,8,yes,poor,poor,stubborn,Technical,salary,hard worker,no,yes,hadoop,cloud computing,cloud computing,Business process analyst,Service Based,Self help,CRM Technical Developer
69,62,64,67,71,79,60,77,10,6,3,7,8,yes,poor,poor,stubborn,Technical,salary,smart worker,yes,no,shell programming,system designing,parallel computing,system developer,Finance,Guide,Database Manager
65,78,80,93,87,85,67,68,8,3,0,4,3,no,poor,poor,gentle,Technical,salary,hard worker,yes,no,machine learning,hacking,networks,cloud computing,Cloud Services,Biographies,Technical Support
76,87,80,67,66,80,74,75,5,9,6,1,7,no,medium,poor,gentle,Technical,work,smart worker,no,no,full stack,testing,Management,testing,Web Services,Series,Database Administrator
74,85,64,72,67,62,73,92,9,5,0,7,9,yes,poor,excellent,stubborn,Technical,salary,smart worker,no,yes,distro making,hacking,hacking,developer,Testing and Maintainance Services,Health,Network Engineer
86,63,73,94,70,91,92,93,6,3,4,3,8,no,poor,poor,stubborn,Technical,salary,hard worker,no,yes,machine learning,system designing,data engineering,security,product development,Diaries,Mobile Applications Developer
64,69,76,62,63,86,66,75,4,7,0,4,4,no,excellent,poor,stubborn,Management,work,hard worker,yes,yes,distro making,testing,Computer Architecture,developer,Web Services,Journals,Technical Services/Help Desk/Tech Support
93,94,70,85,68,69,78,86,7,2,2,8,7,no,excellent,poor,stubborn,Management,work,hard worker,no,no,full stack,cloud computing,parallel computing,Business process analyst,Finance,Diaries,Technical Support
94,74,75,74,65,63,85,89,7,6,5,6,5,yes,medium,medium,stubborn,Technical,salary,hard worker,yes,no,machine learning,game development,Management,security,Business Process Analysis,Diaries,Information Technology Manager
88,62,67,73,90,76,67,70,10,1,3,6,5,no,poor,poor,stubborn,Management,salary,smart worker,yes,yes,r programming,web technologies,Management,developer,Cloud Services,Art,E-Commerce Analyst
76,91,84,66,84,61,79,64,10,2,5,1,8,no,medium,medium,stubborn,Management,salary,hard worker,no,yes,python,data science,cloud computing,security,Service Based,Prayer books,Software Developer
80,75,83,75,85,74,70,61,9,8,2,1,8,no,poor,excellent,stubborn,Management,work,smart worker,no,yes,information security,cloud computing,Computer Architecture,cloud computing,Business Process Analysis,Guide,Solutions Architect
75,74,72,90,94,64,75,70,8,3,5,4,3,yes,excellent,medium,gentle,Management,work,hard worker,yes,no,python,database security,data engineering,system developer,Web Services,Childrens,Software Systems Engineer
69,67,68,80,84,76,80,76,12,7,0,4,6,yes,poor,medium,gentle,Management,salary,smart worker,yes,no,hadoop,testing,data engineering,security,Cloud Services,Art,Network Engineer
83,84,66,70,64,90,61,83,8,3,2,7,4,no,medium,excellent,gentle,Management,salary,smart worker,yes,yes,r programming,cloud computing,networks,system developer,Service Based,History,Technical Support
88,72,79,90,70,77,81,67,4,6,0,9,7,no,poor,poor,gentle,Technical,work,hard worker,yes,no,hadoop,web technologies,IOT,developer,Service Based,Health,Information Technology Manager
83,66,93,68,74,81,71,94,5,7,0,6,3,no,excellent,poor,stubborn,Technical,salary,smart worker,no,no,information security,web technologies,programming,security,Cloud Services,Anthology,Software Engineer
83,68,63,61,70,74,92,75,5,4,5,6,1,no,medium,poor,gentle,Management,salary,hard worker,yes,no,information security,system designing,hacking,testing,product development,Science fiction,Software Developer
89,89,68,63,75,87,63,63,5,5,4,7,8,yes,excellent,medium,stubborn,Management,work,smart worker,yes,yes,python,testing,IOT,Business process analyst,Cloud Services,Travel,Programmer Analyst
90,61,75,93,90,85,66,78,9,1,4,6,9,no,poor,excellent,stubborn,Management,salary,smart worker,yes,no,machine learning,system designing,cloud computing,testing,Service Based,Guide,CRM Business Analyst
91,62,71,87,64,90,73,94,7,9,6,4,2,yes,poor,excellent,stubborn,Technical,work,hard worker,no,yes,machine learning,cloud computing,Computer Architecture,security,Service Based,Autobiographies,Software Developer
66,69,63,81,80,81,71,73,6,5,6,3,1,no,medium,medium,stubborn,Management,work,hard worker,no,no,r programming,web technologies,parallel computing,system developer,Web Services,Biographies,Business Intelligence Analyst
61,74,91,81,80,90,94,80,10,2,3,4,8,no,poor,medium,gentle,Technical,salary,hard worker,no,no,r programming,system designing,data engineering,testing,Web Services,Encyclopedias,Database Administrator
92,74,71,68,84,88,89,69,8,6,3,4,5,yes,excellent,poor,gentle,Management,work,hard worker,yes,no,distro making,game development,IOT,testing,Service Based,Satire,Technical Engineer
64,74,91,73,68,62,82,63,10,5,2,7,3,no,poor,excellent,gentle,Technical,salary,hard worker,no,no,app development,testing,Management,developer,Cloud Services,Health,Data Architect
72,85,77,88,91,78,91,83,8,5,6,1,9,yes,medium,medium,stubborn,Technical,salary,hard worker,yes,yes,app development,testing,IOT,developer,Sales and Marketing,Science,Network Security Engineer
74,86,65,84,66,62,69,79,5,6,0,3,4,no,excellent,excellent,stubborn,Management,work,smart worker,no,no,full stack,cloud computing,parallel computing,security,Testing and Maintainance Services,Self help,CRM Technical Developer
88,80,67,91,66,61,62,85,6,7,0,3,1,no,excellent,excellent,gentle,Technical,work,hard worker,yes,no,app development,system designing,Management,system developer,Business Process Analysis,Satire,Software Developer
76,75,78,86,94,64,92,65,12,9,0,6,3,yes,medium,medium,stubborn,Technical,salary,hard worker,no,yes,machine learning,system designing,data engineering,security,Testing and Maintainance Services,Prayer books,Systems Security Administrator
73,68,91,92,87,94,90,66,11,7,0,8,4,yes,excellent,excellent,gentle,Technical,work,smart worker,no,no,distro making,testing,Computer Architecture,cloud computing,Sales and Marketing,Encyclopedias,Network Engineer
63,61,79,91,78,76,66,61,11,6,0,1,1,no,excellent,medium,gentle,Management,work,smart worker,yes,yes,shell programming,hacking,Management,testing,Finance,Drama,Technical Services/Help Desk/Tech Support
60,64,93,93,81,81,63,68,7,8,3,9,1,no,poor,poor,stubborn,Technical,salary,hard worker,no,no,machine learning,database security,Computer Architecture,testing,Web Services,Health,Systems Security Administrator
76,93,65,63,86,88,93,78,9,4,5,5,2,yes,medium,poor,gentle,Management,work,smart worker,yes,yes,hadoop,web technologies,IOT,security,Business Process Analysis,Action and Adventure,Web Developer
72,92,90,67,64,60,87,84,8,9,0,1,6,yes,poor,poor,gentle,Technical,salary,hard worker,no,no,full stack,hacking,Software Engineering,testing,Service Based,Fantasy,Portal Administrator
85,67,77,91,64,84,83,75,5,6,5,6,8,yes,excellent,poor,stubborn,Management,salary,smart worker,yes,no,full stack,game development,Computer Architecture,system developer,SAaS services,Anthology,Software Developer
81,84,69,71,88,75,93,74,11,3,3,7,8,no,excellent,medium,stubborn,Management,salary,hard worker,no,yes,distro making,data science,parallel computing,Business process analyst,Business Process Analysis,Biographies,Network Security Engineer
82,65,74,93,72,67,83,72,5,2,3,4,4,no,excellent,excellent,gentle,Technical,salary,smart worker,no,yes,machine learning,cloud computing,networks,system developer,Business Process Analysis,Horror,Solutions Architect
74,69,86,77,75,81,94,83,5,7,6,7,8,yes,excellent,poor,gentle,Management,work,smart worker,yes,yes,shell programming,cloud computing,hacking,developer,product development,Poetry,Network Security Administrator
70,64,73,76,76,71,75,60,12,9,1,7,6,yes,excellent,excellent,gentle,Management,work,hard worker,yes,yes,app development,hacking,data engineering,cloud computing,Service Based,Romance,Portal Administrator
71,67,61,65,68,72,86,86,7,5,5,6,3,yes,poor,excellent,stubborn,Technical,salary,hard worker,no,no,shell programming,cloud computing,IOT,security,Sales and Marketing,Anthology,UX Designer
77,92,70,91,83,84,61,73,4,1,2,8,2,no,poor,medium,stubborn,Management,work,hard worker,yes,no,app development,system designing,Management,cloud computing,Business Process Analysis,Self help,Project Manager
60,85,74,91,66,79,63,64,10,1,3,7,2,yes,poor,medium,gentle,Management,work,smart worker,yes,no,hadoop,data science,parallel computing,cloud computing,SAaS services,Horror,Project Manager
91,94,76,84,65,72,81,81,5,2,0,2,3,no,poor,excellent,gentle,Technical,work,hard worker,yes,yes,distro making,game development,Management,cloud computing,Finance,History,Network Engineer
66,67,71,67,80,68,90,82,7,2,6,2,5,no,excellent,excellent,stubborn,Management,salary,smart worker,no,no,machine learning,game development,cloud computing,Business process analyst,Product based,Fantasy,Quality Assurance Associate
71,85,61,87,69,64,70,93,6,7,6,4,3,no,medium,excellent,gentle,Technical,salary,hard worker,no,yes,shell programming,testing,Management,system developer,Cloud Services,Autobiographies,Applications Developer
82,69,71,80,72,60,66,67,8,2,1,8,8,yes,excellent,excellent,gentle,Management,salary,hard worker,yes,no,shell programming,game development,hacking,system developer,product development,Guide,Technical Engineer
81,91,93,69,86,80,70,68,6,2,3,2,8,no,medium,excellent,stubborn,Management,work,hard worker,yes,yes,distro making,testing,networks,security,Business Process Analysis,Prayer books,Network Security Administrator
73,60,94,70,88,94,81,66,5,8,5,7,6,no,excellent,medium,stubborn,Management,salary,smart worker,yes,no,full stack,web technologies,Management,cloud computing,Testing and Maintainance Services,Science fiction,CRM Technical Developer
81,79,87,79,71,81,61,71,10,7,1,3,7,yes,poor,medium,stubborn,Technical,salary,hard worker,yes,yes,python,data science,Management,developer,Service Based,Horror,E-Commerce Analyst
60,77,90,94,94,70,64,86,6,3,4,1,3,no,excellent,excellent,gentle,Management,salary,smart worker,no,yes,information security,hacking,parallel computing,developer,Testing and Maintainance Services,Guide,Software Quality Assurance (QA) / Testing
78,62,85,92,67,74,71,76,12,2,3,7,1,yes,medium,poor,stubborn,Technical,work,hard worker,yes,yes,machine learning,hacking,hacking,cloud computing,Cloud Services,Art,Network Security Administrator
91,76,85,64,88,87,88,69,12,8,4,1,8,yes,poor,poor,gentle,Management,work,hard worker,no,yes,r programming,cloud computing,networks,testing,Finance,Self help,Network Engineer
92,69,62,67,83,94,66,77,7,9,5,8,8,yes,poor,poor,stubborn,Technical,salary,hard worker,no,no,information security,database security,programming,Business process analyst,SAaS services,Drama,Technical Engineer
81,64,61,82,76,73,74,65,7,7,5,1,7,no,poor,poor,stubborn,Management,work,hard worker,yes,yes,machine learning,system designing,parallel computing,system developer,Web Services,Series,Systems Security Administrator
78,90,65,84,82,76,65,82,6,2,2,5,6,yes,medium,medium,gentle,Management,work,hard worker,yes,yes,python,data science,Computer Architecture,testing,Business Process Analysis,Childrens,Design & UX
83,67,76,86,85,89,93,94,4,8,5,8,6,yes,poor,poor,gentle,Management,work,smart worker,yes,no,app development,web technologies,Computer Architecture,testing,Sales and Marketing,Mystery,Database Administrator
69,91,87,70,86,89,81,71,4,8,6,1,9,yes,excellent,poor,gentle,Management,salary,hard worker,yes,no,hadoop,data science,parallel computing,cloud computing,Cloud Services,Cookbooks,Programmer Analyst
63,93,69,61,82,87,84,65,4,6,3,4,3,no,poor,excellent,stubborn,Technical,work,hard worker,yes,no,python,cloud computing,programming,testing,SAaS services,Prayer books,Software Quality Assurance (QA) / Testing
77,86,67,84,90,93,66,83,7,6,5,4,7,yes,excellent,excellent,stubborn,Management,work,smart worker,no,no,machine learning,data science,networks,system developer,Finance,Science fiction,CRM Business Analyst
69,72,60,62,66,68,78,69,12,6,2,1,9,no,medium,poor,stubborn,Technical,work,hard worker,yes,no,shell programming,game development,Management,testing,Web Services,Encyclopedias,Database Manager
73,90,75,66,86,81,94,71,6,6,0,3,4,yes,medium,excellent,gentle,Management,salary,smart worker,no,yes,python,database security,hacking,developer,product development,Poetry,Software Developer
65,73,66,77,61,72,63,90,6,4,1,7,3,yes,excellent,poor,gentle,Management,salary,smart worker,yes,no,python,data science,Management,testing,Product based,Dictionaries,Solutions Architect
77,70,87,80,70,93,66,67,12,8,5,7,6,no,excellent,medium,stubborn,Management,salary,hard worker,no,no,shell programming,data science,Software Engineering,security,Product based,Horror,Information Security Analyst
64,67,79,71,71,67,93,67,10,7,3,1,1,no,medium,medium,gentle,Management,work,smart worker,no,yes,machine learning,web technologies,Software Engineering,cloud computing,Cloud Services,Self help,Network Security Engineer
67,86,84,70,76,66,70,81,11,1,5,2,8,yes,excellent,excellent,gentle,Technical,salary,hard worker,no,no,information security,cloud computing,programming,cloud computing,Service Based,Dictionaries,Network Engineer
83,68,92,77,60,74,61,62,4,6,0,6,3,no,excellent,medium,stubborn,Technical,salary,hard worker,no,no,shell programming,database security,Software Engineering,security,Finance,Trilogy,Technical Support
81,60,86,85,78,81,63,69,11,3,3,2,2,yes,excellent,medium,gentle,Management,salary,smart worker,no,yes,information security,game development,Computer Architecture,security,Sales and Marketing,Encyclopedias,Systems Analyst
88,76,66,84,61,61,70,78,11,7,6,3,5,yes,medium,medium,gentle,Technical,salary,smart worker,no,yes,r programming,data science,IOT,security,Service Based,Self help,Information Technology Auditor
72,76,78,91,72,64,62,62,12,7,0,4,3,no,excellent,medium,gentle,Management,salary,hard worker,no,yes,hadoop,system designing,parallel computing,developer,Service Based,Diaries,CRM Technical Developer
85,89,78,83,66,79,75,81,5,3,1,7,6,yes,poor,poor,stubborn,Technical,work,hard worker,no,yes,python,cloud computing,Software Engineering,developer,Sales and Marketing,Horror,Technical Services/Help Desk/Tech Support
90,80,80,62,81,60,64,69,5,9,3,1,9,yes,poor,poor,gentle,Technical,salary,hard worker,no,no,python,hacking,cloud computing,developer,SAaS services,Biographies,Software Quality Assurance (QA) / Testing
69,82,79,79,93,94,89,62,7,7,0,3,9,no,excellent,excellent,stubborn,Management,work,hard worker,no,no,shell programming,system designing,cloud computing,Business process analyst,SAaS services,Art,Business Systems Analyst
66,93,73,82,70,90,63,91,6,2,2,6,6,no,medium,poor,gentle,Management,salary,hard worker,no,yes,r programming,data science,hacking,testing,Business Process Analysis,Fantasy,Technical Engineer
87,69,65,79,72,64,60,66,11,7,4,3,5,yes,excellent,medium,gentle,Technical,salary,hard worker,yes,yes,hadoop,web technologies,Computer Architecture,system developer,SAaS services,Poetry,Technical Support
83,74,60,88,86,89,62,84,12,3,5,5,9,no,medium,medium,gentle,Technical,work,smart worker,yes,no,hadoop,database security,Computer Architecture,cloud computing,Finance,Romance,Information Technology Auditor
60,82,79,84,80,73,90,82,5,9,2,6,6,yes,medium,excellent,gentle,Technical,work,hard worker,yes,yes,information security,web technologies,parallel computing,system developer,Web Services,Trilogy,Network Security Administrator
71,93,70,64,69,73,94,80,7,1,6,6,8,yes,excellent,poor,gentle,Management,salary,smart worker,yes,no,hadoop,hacking,networks,system developer,Service Based,Encyclopedias,Information Technology Manager
89,92,74,87,67,92,70,70,7,4,0,3,1,no,medium,excellent,gentle,Management,work,hard worker,no,no,shell programming,testing,cloud computing,system developer,Cloud Services,Guide,Web Developer
91,75,79,69,60,70,76,73,7,7,2,8,6,yes,excellent,poor,gentle,Technical,salary,hard worker,no,no,r programming,web technologies,networks,cloud computing,SAaS services,Self help,Business Systems Analyst
61,65,75,88,72,68,76,62,9,6,0,2,1,no,poor,excellent,stubborn,Technical,work,smart worker,yes,no,distro making,game development,Management,Business process analyst,Sales and Marketing,Mystery,Systems Analyst
83,68,60,88,81,67,63,76,7,5,2,5,4,no,excellent,medium,gentle,Technical,work,smart worker,no,yes,information security,database security,hacking,system developer,Product based,Horror,Web Developer
93,87,78,88,73,94,76,81,7,7,0,8,8,no,medium,poor,gentle,Management,salary,smart worker,no,no,machine learning,database security,Software Engineering,system developer,Finance,Self help,Solutions Architect
66,88,71,65,78,65,69,65,9,3,6,1,2,no,excellent,medium,stubborn,Technical,salary,smart worker,no,yes,information security,data science,cloud computing,Business process analyst,Product based,Guide,UX Designer
65,79,64,84,79,76,74,64,8,7,6,3,6,yes,medium,excellent,stubborn,Technical,work,smart worker,yes,no,full stack,hacking,programming,developer,Web Services,Biographies,Network Engineer
83,84,82,60,88,92,85,84,6,2,3,9,1,no,poor,excellent,stubborn,Technical,work,smart worker,no,no,information security,testing,data engineering,Business process analyst,product development,Travel,Applications Developer
91,83,62,89,87,84,75,63,7,8,5,1,4,yes,excellent,excellent,gentle,Technical,salary,smart worker,no,no,app development,cloud computing,Management,security,Finance,Travel,Project Manager
84,67,93,64,76,81,74,94,12,3,1,8,1,no,excellent,medium,gentle,Management,work,hard worker,no,no,machine learning,system designing,hacking,cloud computing,Web Services,Drama,UX Designer
90,74,80,69,70,93,92,67,4,1,4,7,6,yes,medium,medium,stubborn,Technical,salary,hard worker,yes,no,shell programming,data science,data engineering,testing,Product based,Guide,Database Administrator
79,80,66,73,87,60,80,87,12,1,1,1,4,yes,excellent,excellent,stubborn,Management,salary,smart worker,no,yes,shell programming,web technologies,programming,security,Cloud Services,Biographies,Information Technology Auditor
82,79,76,70,66,89,73,64,10,2,0,1,4,no,poor,poor,gentle,Management,work,smart worker,yes,no,hadoop,testing,networks,security,product development,Fantasy,Database Developer
77,92,64,67,82,94,73,80,10,2,4,7,7,yes,excellent,poor,gentle,Technical,work,smart worker,yes,yes,hadoop,database security,hacking,system developer,Business Process Analysis,Romance,Database Manager
